Año,Fecha,Tipo elección,Cargo,Participación
2019,11/8,Primarias,Presidente,"73,83%"
2019,27/10,Generales,Presidente,"79,43%"
2019,28/4,Primarias,Gobernador,"66,55%"
2019,16/6,Generales,Gobernador,"70,63%"
2019,28/4,Primarias,Intendente,"66,76%"
2019,16/6,Generales,Intendente,"70,86%"
2019,28/4,Primarias,Concejales,"66,76%"
2019,16/6,Generales,Concejales,"70,86%"
2021,12/9,Primarias,Diputados Nacionales,"62,78%"
2021,14/11,Generales,Diputados Nacionales,"67,50%"
2021,12/9,Primarias,Concejales,"63,66%"
2021,14/11,Generales,Concejales,"67,83%"
2023,13/8,Primarias,Presidente,"69,08%"
2023,22/10,Generales,Presidente*,"75,58%"
2023,9/7,Primarias,Gobernador,"60,75%"
2023,10/9,Generales,Gobernador,"63,62%"
2023,9/7,Primarias,Intendente,"61,42%"
2023,10/9,Generales,Intendente,"63,74%"
2023,9/7,Primarias,Concejales,"60,55%"
2023,10/9,Generales,Concejales,"63,74%"
2025,13/4,Primarias,Reformador Distrito,"46,93%"
2025,13/4,Primarias,Reformador Distrito Único,"46,93%"
2025,29/6,Generales,Concejales,"42,29%"
2025,26/10,Generales,Diputados Nacionales,"62,55%"
