Año,Elección,Cargo,Partido,O,N,E,S,% padrón O,% padrón N,% padrón E,% padrón S,% votos emitidos O,% votos emitidos N,% votos emitidos E,% votos emitidos S,Cantidad de votos,Votos emitidos válidos,% sobre votos emitidos válidos,% padrón TOTAL,,,,
2019,Primarias,Presidente,UNIDOS,7089,5838,4231,3320,"34,13%","31,68%","27,42%","29,91%","46,42%","42,35%","37,18%","41,03%",20478,48529,"42,20%","31,16%",,,,
2019,Primarias,Presidente,IZQUIERDA,345,348,248,175,"1,66%","1,89%","1,61%","1,58%","2,26%","2,52%","2,18%","2,16%",1116,48529,"2,30%","1,70%",,,,
2019,Primarias,Presidente,PJ NO K,1774,1532,1200,871,"8,54%","8,31%","7,78%","7,85%","11,62%","11,11%","10,55%","10,77%",5377,48529,"11,08%","8,18%","73,83%",,Nota: los % de los cuadrantes están calculados sobre el padrón nacional por circuito; el Tribunal Electoral provincial no publica electores por circuito para TODO 2019.,
2019,Primarias,Presidente,PJ (K),4521,4151,4133,2598,"21,77%","22,53%","26,79%","23,41%","29,60%","30,11%","36,32%","32,11%",15403,48529,"31,74%","23,43%",,,,
2019,Primarias,Presidente,OTROS,1141,1069,807,489,"5,49%","5,80%","5,23%","4,41%","7,47%","7,75%","7,09%","6,04%",3506,48529,"7,22%","5,33%",,,,
2019,Primarias,Presidente,BLANCOS,139,309,251,233,"0,67%","1,68%","1,63%","2,10%","0,91%","2,24%","2,21%","2,88%",932,48529,"1,92%","1,42%",,,,
2019,Primarias,Presidente,ANULADOS,264,539,509,405,"1,27%","2,92%","3,30%","3,65%","1,73%","3,91%","4,47%","5,01%",1717,48529,"3,54%","2,61%",,,,
2019,Primarias,Concejales,UNIDOS,4856,4155,3334,2456,"23,38%","22,55%","21,61%","22,13%","35,38%","34,54%","33,02%","3,45%",14801,42966,"34,45%","23,00%",,,,
2019,Primarias,Concejales,PRO,1579,1129,842,656,"7,60%","6,13%","5,46%","5,91%","11,50%","9,38%","8,34%","0,92%",4206,42966,"9,79%","6,54%",,,,
2019,Primarias,Concejales,PJ NO K,29,33,27,13,"0,14%","0,18%","0,17%","0,12%","0,21%","0,27%","0,27%","0,02%",102,42966,"0,24%","0,16%",,,,
