Año,Fecha,Tipo elección,Cargo,Participación,O,N,E,S
2019,11/8,Primarias 2019,Presidente,"73,83%","73,53%","74,81%","73,75%","72,90%"
2019,27/10,Generales 2019,Presidente,"79,43%","80,57%","78,40%","79,90%","78,34%"
2019,28/4,Primarias 2019,Gobernador,"66,55%","65,43%","65,28%","65,44%","64,07%"
2019,16/6,Generales 2019,Gobernador,"70,63%","69,70%","69,13%","69,06%","68,34%"
2019,28/4,Primarias 2019,Intendente,"66,76%","65,43%","65,28%","65,44%","64,07%"
2019,16/6,Generales 2019,Intendente,"70,86%","69,70%","69,13%","69,06%","68,34%"
2019,28/4,Primarias 2019,Concejales,"66,76%","65,43%","65,28%","65,44%","64,07%"
2019,16/6,Generales 2019,Concejales,"70,86%","69,70%","69,13%","69,06%","68,34%"
2021,12/9,Primarias 2021,Diputados Nacionales,"62,78%","64,52%","62,96%","62,02%","63,01%"
2021,14/11,Generales 2021,Diputados Nacionales,"67,50%","68,82%","67,23%","66,21%","64,87%"
2021,12/9,Primarias 2021,Concejales,"63,66%","68,20%","66,64%","66,22%","63,34%"
2021,14/11,Generales 2021,Concejales,"67,83%","65,18%","62,70%","63,18%","62,45%"
2023,13/8,Primarias 2023,Presidente,"69,08%","70,74%","68,19%","68,85%","69,01%"
2023,22/10,Generales 2023,Presidente*,"75,58%","75,76%","75,32%","75,50%","76,94%"
2023,9/7,Primarias 2023,Gobernador,"60,75%","61,00%","60,30%","60,78%","61,58%"
2023,10/9,Generales 2023,Gobernador,"63,62%","65,35%","64,12%","63,76%","63,46%"
2023,9/7,Primarias 2023,Intendente,"61,42%","61,86%","60,62%","60,44%","63,91%"
2023,10/9,Generales 2023,Intendente,"63,74%","65,75%","64,12%","63,76%","63,46%"
2023,9/7,Primarias 2023,Concejales,"60,55%","61,86%","60,62%","60,44%","63,91%"
2023,10/9,Generales 2023,Concejales,"63,74%","65,75%","64,12%","63,76%","63,46%"
2025,13/4,Primarias 2025,Reformador Distrito,"46,93%","48,89%","46,89%","46,40%","45,90%"
2025,13/4,Primarias 2025,Reformador Distrito Único,"46,93%","48,89%","46,89%","46,40%","45,90%"
2025,29/6,Generales 2025,Concejales,"42,29%","43,41%","43,24%","42,17%","40,40%"
2025,26/10,Generales 2025,Diputados Nacionales,"62,55%","63,73%","62,11%","62,84%","60,61%"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,* falta balotaje porque no hay arrastre,,,,,
